stations,lon,lat
116 ST-COLUMBIA,-73.9639122,40.808043
137 ST CITY COL,-73.95440099999999,40.821374
157 ST,-73.94481549999999,40.83418289999999
191 ST,-73.932621,40.8564197
207 ST,-73.9199866,40.8658136
215 ST,-73.9153019,40.8695946
MARBLE HILL-225,-73.91043309999999,40.8743487
231 ST,-73.9049309,40.879025
238 ST,-73.9006843,40.884873
V.CORTLANDT PK,-73.8852842,40.8964243
BOWLING GREEN,-83.6300826,41.3797788
BROOKLYN BRIDGE,-73.9968643,40.7060855
BLEECKER ST,-74.00043099999999,40.7288134
ASTOR PL,-73.992649,40.7300526
33 ST,-73.9820093,40.7461729
GRD CNTRL-42 ST,-73.97717879999999,40.7522378
51 ST,-73.9864745,40.7632683
68ST-HUNTER CO,-73.9638866,40.7678741
110 ST,-73.95251429999999,40.798268
138/GRAND CONC,-73.9298111,40.8132249
149/GRAND CONC,-73.9274121,40.8183248
MT EDEN AV,-73.9146157,40.8445285
176 ST,-73.9117417,40.8484577
BURNSIDE AV,-73.90768400000002,40.853455
183 ST,-73.90397810000002,40.8583924
MOSHOLU PKWY,-73.886189,40.8821418
WOODLAWN,-97.26297,37.539653
CENTRAL PK N110,-73.9653551,40.7828647
HARLEM 148 ST,-73.9369385,40.8240504
3 AV-149 ST,-73.917811,40.816129
JACKSON AV,-73.90801350000001,40.8162282
INTERVALE AV,-73.8968106,40.8222642
SIMPSON ST,-73.8929508,40.8246818
FREEMAN ST,-80.246551,36.0691216
174 ST,-73.8877791,40.8374234
WEST FARMS SQ,-73.880808,40.8414408
E 180 ST,-73.87348899999999,40.841892
BRONX PARK EAST,-73.8683877,40.848986
PELHAM PKWY,-73.8639594,40.8553279
ALLERTON AV,-73.8519496,40.865412
BURKE AV,-73.8670726,40.8714516
GUN HILL RD,-73.8844379,40.8832755
219 ST,-73.8627468,40.883888
225 ST,-73.8604244,40.888092
233 ST,-73.85740910000001,40.8932229
NEREID AV,-73.8504976,40.898285
WAKEFIELD/241,-73.8504209,40.9035209
3 AV 138 ST,-73.92614000000002,40.810474
BROOK AV,-73.919243,40.807568
CYPRESS AV,-73.9137116,40.8052426
E 143/ST MARY'S,-73.9078528,40.8082006
E 149 ST,-73.9148828,40.8149146
LONGWOOD AV,-73.89624309999999,40.8163341
HUNTS POINT AV,-73.89088120000001,40.8208037
WHITLOCK AV,-73.8863456,40.8267442
ELDER AV,-73.87915799999999,40.82858299999999
MORISN AV/SNDVW,-73.8746754,40.8294898
ST LAWRENCE AV,-73.8672593,40.8315326
PARKCHESTER,-73.8566087,40.8382522
CASTLE HILL AV,-73.85168399999999,40.83429599999999
ZEREGA AV,-73.8436672,40.8273205
WESTCHESTER SQ,-73.8464802,40.839815
MIDDLETOWN RD,-73.8361681,40.843915
BUHRE AV,-73.8317622,40.847193
PELHAM BAY PARK,-73.8091736,40.8654997
5 AVE,-73.9656177,40.7744146
VERNON-JACKSON,-73.9537248,40.7426713
HUNTERS PT AV,-73.9481564,40.7424176
QUEENSBORO PLZ,-73.9402762,40.7509846
39 AV,-73.9328056,40.7526897
36 AV,-73.9296478,40.7566195
30 AV,-73.921313,40.7668516
ASTORIA BLVD,-73.8918474,40.7657244
ASTORIA DITMARS,-73.91211,40.7750119
33 ST-RAWSON ST,-73.9312333,40.7445586
40 ST LOWERY ST,-73.92423409999999,40.7438729
46 ST BLISS ST,-73.91824030000001,40.7430691
52 ST,-73.96965999999999,40.75700519999999
61 ST WOODSIDE,-73.90290399999999,40.7457078
69 ST,-75.2579962,39.9560255
74 ST-BROADWAY,-73.8909986,40.746739
82 ST-JACKSON H,-73.8855394,40.75649660000001
90 ST-ELMHURST,-73.8765289,40.7484367
JUNCTION BLVD,-73.86781959999999,40.7446367
103 ST-CORONA,-73.862746,40.7498268
METS-WILLETS PT,-73.8439999,40.752322
FLUSHING-MAIN,-73.82992209999999,40.7595582
34 ST-HUDSON YD,-74.0010084,40.7549713
CLARK ST,-87.6579379,41.9489777
HOYT ST,-73.9850204,40.6905349
NEVINS ST,-73.9805206,40.6882963
GRAND ARMY PLAZ,-73.9700893,40.6738771
EASTN PKWY-MUSM,-73.9636306,40.6712062
KINGSTON AV,-73.9422927,40.6692845
CROWN HTS-UTICA,-73.93183379999999,40.6689469
SUTTER AV-RUTLD,-73.92290849999999,40.6649921
SARATOGA AV,-121.9878974,37.2956162
JUNIUS ST,-73.90291169999999,40.6634442
PENNSYLVANIA AV,-77.0351295,38.8987709
NEW LOTS AV,-73.8898367,40.6632877
PRESIDENT ST,-73.9506586,40.6681585
STERLING ST,-73.951044,40.6632908
WINTHROP ST,-73.95023069999999,40.6569618
BEVERLY RD,-73.9489985,40.6450913
NEWKIRK AV,-73.94841,40.639969
FLATBUSH AV-B.C,-73.94535479999999,40.630641
MORRIS PARK,-73.8513735,40.850332
BAYCHESTER AV,-73.8389591,40.881653
EASTCHSTER/DYRE,-73.8310628,40.8879392
ST. GEORGE,-113.5684164,37.0965278
TOMPKINSVILLE,-74.0872892,40.63259559999999
RIT-MANHATTAN,-77.6749311,43.0844955
RIT-ROOSEVELT,-77.6749311,43.0844955
